"H, A/m","B, T"
-30.0,-0.18891221577919548
-29.93993993993994,-0.18864788951603237
-29.87987987987988,-0.1883831163326585
-29.81981981981982,-0.18811789506877186
-29.75975975975976,-0.1878522245599736
-29.6996996996997,-0.18758610363775008
-29.63963963963964,-0.18731953112945401
-29.57957957957958,-0.1870525058582863
-29.51951951951952,-0.186785026643277
-29.45945945945946,-0.18651709229926677
-29.3993993993994,-0.1862487016368878
-29.33933933933934,-0.18597985346254514
-29.27927927927928,-0.18571054657839728
-29.21921921921922,-0.18544077978233708
-29.15915915915916,-0.18517055186797257
-29.0990990990991,-0.18489986162460736
-29.03903903903904,-0.18462870783722138
-28.97897897897898,-0.18435708928645092
-28.91891891891892,-0.1840850047485693
-28.85885885885886,-0.1838124529954666
-28.7987987987988,-0.18353943279463017
-28.73873873873874,-0.1832659429091243
-28.67867867867868,-0.18299198209756987
-28.61861861861862,-0.18271754911412466
-28.55855855855856,-0.18244264270846242
-28.4984984984985,-0.18216726162575253
-28.43843843843844,-0.18189140460663947
-28.37837837837838,-0.18161507038722205
-28.31831831831832,-0.1813382576990324
-28.25825825825826,-0.1810609652690153
-28.1981981981982,-0.1807831918195068
-28.13813813813814,-0.18050493606821333
-28.07807807807808,-0.18022619672819
-28.01801801801802,-0.1799469725078196
-27.95795795795796,-0.1796672621107906
-27.8978978978979,-0.17938706423607584
-27.83783783783784,-0.17910637757791062
-27.77777777777778,-0.17882520082577053
-27.71771771771772,-0.17854353266434986
-27.65765765765766,-0.17826137177353898
-27.5975975975976,-0.17797871682840247
-27.53753753753754,-0.17769556649915624
-27.47747747747748,-0.17741191945114543
-27.41741741741742,-0.17712777434482135
-27.35735735735736,-0.1768431298357191
-27.2972972972973,-0.1765579845744341
-27.237237237237238,-0.1762723372065996
-27.177177177177178,-0.175986186372863
-27.117117117117118,-0.17569953070886288
-27.057057057057058,-0.17541236884520536
-26.996996996996998,-0.17512469940744047
-26.936936936936938,-0.17483652101603864
-26.876876876876878,-0.1745478322863666
-26.816816816816818,-0.17425863182866363
-26.756756756756758,-0.1739689182480171
-26.696696696696698,-0.17367869014433845
-26.636636636636638,-0.17338794611233882
-26.576576576576578,-0.17309668474150428
-26.516516516516518,-0.17280490461607123
-26.456456456456458,-0.1725126043150017
-26.396396396396398,-0.17221978241195818
-26.336336336336338,-0.17192643747527855
-26.276276276276278,-0.17163256806795094
-26.216216216216218,-0.17133817274758814
-26.156156156156158,-0.17104325006640222
-26.096096096096097,-0.17074779857117864
-26.036036036036037,-0.17045181680325053
-25.975975975975977,-0.1701553032984726
-25.915915915915917,-0.16985825658719514
-25.855855855855857,-0.1695606751942375
-25.795795795795797,-0.16926255763886178
-25.735735735735737,-0.16896390243474613
-25.675675675675677,-0.1686647080899581
-25.615615615615617,-0.16836497310692755
-25.555555555555557,-0.16806469598241972
-25.495495495495497,-0.1677638752075079
-25.435435435435437,-0.16746250926754613
-25.375375375375377,-0.1671605966421415
-25.315315315315317,-0.16685813580512646
-25.255255255255257,-0.1665551252245311
-25.195195195195197,-0.16625156336255487
-25.135135135135137,-0.16594744867553862
-25.075075075075077,-0.16564277961393586
-25.015015015015017,-0.16533755462228472
-24.954954954954957,-0.1650317721391788
-24.894894894894897,-0.16472543059723838
-24.834834834834837,-0.16441852842308155
-24.774774774774777,-0.1641110640372948
-24.714714714714717,-0.1638030358544038
-24.654654654654657,-0.16349444228284354
-24.594594594594597,-0.16318528172492897
-24.534534534534536,-0.1628755525768246
-24.474474474474476,-0.16256525322851498
-24.414414414414416,-0.16225438206377385
