"H, A/m","Upper B, T","Lower B, T"
-30.0,-0.18891221577919548,-0.18891221577919548
-29.93993993993994,-0.1885613676553914,-0.18873441137667335
-29.87987987987988,-0.18820986259930272,-0.18855637006601428
-29.81981981981982,-0.1878576987641286,-0.1883780913734151
-29.75975975975976,-0.1875048742961391,-0.1881995748238081
-29.6996996996997,-0.18715138733464293,-0.18802081994085723
-29.63963963963964,-0.18679723601195458,-0.18784182624695345
-29.57957957957958,-0.18644241845336157,-0.18766259326321105
-29.51951951951952,-0.18608693277709115,-0.18748312050946286
-29.45945945945946,-0.18573077709427743,-0.18730340750425611
-29.3993993993994,-0.18537394950892738,-0.18712345376484824
-29.33933933933934,-0.1850164481178877,-0.18694325880720258
-29.27927927927928,-0.18465827101081062,-0.18676282214598394
-29.21921921921922,-0.1842994162701201,-0.18658214329455408
-29.15915915915916,-0.1839398819709775,-0.18640122176496765
-29.0990990990991,-0.1835796661812471,-0.18622005706796763
-29.03903903903904,-0.18321876696146178,-0.18603864871298098
-28.97897897897898,-0.18285718236478776,-0.18585699620811408
-28.91891891891892,-0.18249491043699012,-0.18567509906014845
-28.85885885885886,-0.18213194921639703,-0.1854929567745362
-28.7987987987988,-0.18176829673386474,-0.1853105688553956
-28.73873873873874,-0.18140395101274204,-0.18512793480550654
-28.67867867867868,-0.18103891006883394,-0.1849450541263058
-28.61861861861862,-0.1806731719103662,-0.18476192631788313
-28.55855855855856,-0.18030673453794882,-0.184578550878976
-28.4984984984985,-0.17993959594453962,-0.18439492730696544
-28.43843843843844,-0.1795717541154077,-0.18421105509787122
-28.37837837837838,-0.1792032070280966,-0.1840269337463475
-28.31831831831832,-0.1788339526523869,-0.18384256274567784
-28.25825825825826,-0.1784639889502595,-0.1836579415877711
-28.1981981981982,-0.1780933138758576,-0.18347306976315603
-28.13813813813814,-0.1777219253754494,-0.18328794676097726
-28.07807807807808,-0.1773498213873898,-0.18310257206899022
-28.01801801801802,-0.17697699984208262,-0.18291694517355656
-27.95795795795796,-0.1766034586619419,-0.1827310655596393
-27.8978978978979,-0.17622919576135354,-0.18254493271079814
-27.83783783783784,-0.1758542090466364,-0.18235854610918484
-27.77777777777778,-0.17547849641600316,-0.1821719052355379
-27.71771771771772,-0.1751020557595213,-0.1819850095691784
-27.65765765765766,-0.17472488495907335,-0.18179785858800462
-27.5975975975976,-0.17434698188831732,-0.1816104517684876
-27.53753753753754,-0.17396834441264658,-0.1814227885856659
-27.47747747747748,-0.17358897038914994,-0.1812348685131409
-27.41741741741742,-0.1732088576665709,-0.1810466910230718
-27.35735735735736,-0.17282800408526733,-0.18085825558617086
-27.2972972972973,-0.1724464074771702,-0.18066956167169806
-27.237237237237238,-0.17206406566574273,-0.18048060874745647
-27.177177177177178,-0.17168097646593888,-0.18029139627978713
-27.117117117117118,-0.17129713768416172,-0.18010192373356404
-27.057057057057058,-0.17091254711822168,-0.17991219057218905
-26.996996996996998,-0.17052720255729426,-0.17972219625758667
-26.936936936936938,-0.17014110178187775,-0.17953194025019953
-26.876876876876878,-0.16975424256375066,-0.17934142200898257
-26.816816816816818,-0.16936662266592883,-0.17915064099139844
-26.756756756756758,-0.16897823984262228,-0.17895959665341193
-26.696696696696698,-0.16858909183919177,-0.17876828844948517
-26.636636636636638,-0.16819917639210535,-0.17857671583257229
-26.576576576576578,-0.1678084912288944,-0.17838487825411414
-26.516516516516518,-0.16741703406810943,-0.17819277516403303
-26.456456456456458,-0.16702480261927563,-0.17800040601072775
-26.396396396396398,-0.16663179458284832,-0.17780777024106803
-26.336336336336338,-0.16623800765016805,-0.17761486730038906
-26.276276276276278,-0.16584343950341512,-0.17742169663248675
-26.216216216216218,-0.16544808781556442,-0.17722825767961187
-26.156156156156158,-0.16505195025033959,-0.17703454988246486
-26.096096096096097,-0.1646550244621668,-0.1768405726801905
-26.036036036036037,-0.1642573080961287,-0.17664632551037235
-25.975975975975977,-0.16385879878791781,-0.17645180780902736
-25.915915915915917,-0.16345949416378963,-0.17625701901060065
-25.855855855855857,-0.16305939184051535,-0.17606195854795964
-25.795795795795797,-0.16265848942533476,-0.17586662585238877
-25.735735735735737,-0.1622567845159083,-0.17567102035358395
-25.675675675675677,-0.16185427470026917,-0.175475141479647
-25.615615615615617,-0.16145095755677502,-0.17527898865708008
-25.555555555555557,-0.16104683065405945,-0.17508256131077998
-25.495495495495497,-0.16064189155098302,-0.1748858588640328
-25.435435435435437,-0.1602361377965843,-0.17468888073850797
-25.375375375375377,-0.15982956693003025,-0.17449162635425275
-25.315315315315317,-0.1594221764805665,-0.1742940951296864
-25.255255255255257,-0.1590139639674673,-0.17409628648159486
-25.195195195195197,-0.1586049268999853,-0.17389819982512444
-25.135135135135137,-0.15819506277730072,-0.17369983457377652
-25.075075075075077,-0.1577843690884704,-0.17350119013940135
-25.015015015015017,-0.15737284331237666,-0.17330226593219278
-24.954954954954957,-0.15696048291767561,-0.173103061360682
-24.894894894894897,-0.1565472853627452,-0.17290357583173155
-24.834834834834837,-0.15613324809563311,-0.17270380875052999
-24.774774774774777,-0.15571836855400412,-0.1725037595205855
-24.714714714714717,-0.15530264416508735,-0.17230342754372024
-24.654654654654657,-0.15488607234562302,-0.17210281222006407
-24.594594594594597,-0.15446865050180894,-0.17190191294804896
-24.534534534534536,-0.15405037602924665,-0.17170072912440254
-24.474474474474476,-0.15363124631288733,-0.17149926014414263
-24.414414414414416,-0.15321125872697722,-0.17129750540057048
