"H, A/m","Upper B, T","Lower B, T"
-2000.0,-0.49019584284512796,-0.49019584284512796
-1999.919998399968,-0.49019545455736074,-0.49019546209689613
-1999.839996799936,-0.49019506623898657,-0.49019508131894435
-1999.759995199904,-0.49019467789000176,-0.49019470051126923
-1999.679993599872,-0.4901942895104028,-0.49019431967386734
-1999.59999199984,-0.4901939011001859,-0.49019393880673506
-1999.519990399808,-0.4901935126593476,-0.4901935579098691
-1999.439988799776,-0.4901931241878842,-0.490193176983266
-1999.359987199744,-0.4901927356857921,-0.490192796026922
-1999.279985599712,-0.4901923471530676,-0.4901924150408339
-1999.19998399968,-0.4901919585897072,-0.490192034024998
-1999.119982399648,-0.49019156999570723,-0.4901916529794109
-1999.039980799616,-0.49019118137106404,-0.4901912719040692
-1998.959979199584,-0.490190792715774,-0.4901908907989692
-1998.879977599552,-0.49019040402983355,-0.4901905096641077
-1998.79997599952,-0.49019001531323897,-0.49019012849948107
-1998.719974399488,-0.49018962656598675,-0.4901897473050858
-1998.639972799456,-0.49018923778807316,-0.49018936608091845
-1998.559971199424,-0.4901888489794946,-0.4901889848269755
-1998.479969599392,-0.4901884601402475,-0.4901886035432534
-1998.39996799936,-0.4901880712703281,-0.4901882222297487
-1998.319966399328,-0.4901876823697329,-0.490187840886458
-1998.2399647992959,-0.49018729343845824,-0.4901874595133778
-1998.159963199264,-0.4901869044765005,-0.49018707811050455
-1998.079961599232,-0.49018651548385594,-0.49018669667783477
-1997.9999599992,-0.49018612646052107,-0.4901863152153649
-1997.919958399168,-0.4901857374064922,-0.49018593372309155
-1997.839956799136,-0.49018534832176563,-0.4901855522010112
-1997.759955199104,-0.49018495920633787,-0.4901851706491203
-1997.679953599072,-0.49018457006020516,-0.49018478906741547
-1997.59995199904,-0.49018418088336396,-0.4901844074558931
-1997.519950399008,-0.49018379167581055,-0.4901840258145498
-1997.439948798976,-0.4901834024375413,-0.49018364414338195
-1997.359947198944,-0.4901830131685527,-0.49018326244238614
-1997.279945598912,-0.490182623868841,-0.49018288071155885
-1997.19994399888,-0.49018223453840254,-0.4901824989508966
-1997.119942398848,-0.49018184517723373,-0.4901821171603959
-1997.039940798816,-0.4901814557853309,-0.4901817353400532
-1996.959939198784,-0.4901810663626905,-0.4901813534898651
-1996.879937598752,-0.4901806769093088,-0.49018097160982793
-1996.79993599872,-0.49018028742518216,-0.4901805896999384
-1996.7199343986879,-0.49017989791030697,-0.49018020776019283
-1996.639932798656,-0.49017950836467966,-0.4901798257905878
-1996.5599311986239,-0.49017911878829645,-0.4901794437911198
-1996.479929598592,-0.49017872918115374,-0.49017906176178533
-1996.3999279985599,-0.49017833954324797,-0.4901786797025809
-1996.319926398528,-0.49017794987457536,-0.49017829761350296
-1996.239924798496,-0.4901775601751324,-0.49017791549454803
-1996.159923198464,-0.4901771704449154,-0.4901775333457127
-1996.079921598432,-0.4901767806839206,-0.4901771511669933
-1995.9999199984,-0.49017639089214454,-0.4901767689583864
-1995.919918398368,-0.4901760010695835,-0.4901763867198885
-1995.839916798336,-0.49017561121623376,-0.4901760044514961
-1995.759915198304,-0.49017522133209174,-0.4901756221532057
-1995.679913598272,-0.4901748314171538,-0.49017523982501376
-1995.59991199824,-0.49017444147141626,-0.4901748574669168
-1995.519910398208,-0.49017405149487553,-0.49017447507891126
-1995.439908798176,-0.4901736614875279,-0.4901740926609937
-1995.359907198144,-0.4901732714493697,-0.4901737102131606
-1995.279905598112,-0.49017288138039733,-0.4901733277354084
-1995.19990399808,-0.4901724912806071,-0.4901729452277336
-1995.119902398048,-0.49017210114999543,-0.4901725626901327
-1995.0399007980159,-0.49017171098855855,-0.4901721801226022
-1994.959899197984,-0.49017132079629294,-0.4901717975251386
-1994.8798975979519,-0.49017093057319483,-0.49017141489773836
-1994.79989599792,-0.4901705403192606,-0.490171032240398
-1994.7198943978879,-0.49017015003448666,-0.49017064955311396
-1994.639892797856,-0.4901697597188693,-0.4901702668358827
-1994.5598911978238,-0.49016936937240485,-0.4901698840887008
-1994.479889597792,-0.49016897899508965,-0.49016950131156467
-1994.39988799776,-0.4901685885869201,-0.49016911850447087
-1994.319886397728,-0.4901681981478925,-0.49016873566741576
-1994.239884797696,-0.49016780767800316,-0.4901683528003959
-1994.159883197664,-0.4901674171772485,-0.4901679699034078
-1994.079881597632,-0.4901670266456248,-0.49016758697644786
-1993.9998799976,-0.4901666360831284,-0.49016720401951264
-1993.919878397568,-0.4901662454897556,-0.49016682103259857
-1993.839876797536,-0.4901658548655029,-0.4901664380157022
-1993.759875197504,-0.4901654642103665,-0.4901660549688199
-1993.679873597472,-0.49016507352434274,-0.4901656718919482
-1993.59987199744,-0.490164682807428,-0.4901652887850836
-1993.5198703974079,-0.4901642920596186,-0.4901649056482225
-1993.439868797376,-0.49016390128091086,-0.4901645224813615
-1993.3598671973439,-0.49016351047130113,-0.49016413928449704
-1993.279865597312,-0.4901631196307858,-0.4901637560576255
-1993.1998639972799,-0.49016272875936107,-0.49016337280074346
-1993.119862397248,-0.4901623378570234,-0.49016298951384735
-1993.0398607972159,-0.4901619469237691,-0.49016260619693364
-1992.959859197184,-0.49016155595959443,-0.49016222284999883
-1992.8798575971518,-0.4901611649644958,-0.4901618394730394
-1992.79985599712,-0.49016077393846946,-0.4901614560660517
-1992.7198543970878,-0.49016038288151187,-0.4901610726290324
-1992.639852797056,-0.4901599917936192,-0.49016068916197786
-1992.559851197024,-0.4901596006747879,-0.4901603056648845
-1992.479849596992,-0.49015920952501424,-0.49015992213774895
-1992.39984799696,-0.4901588183442946,-0.49015953858056754
-1992.319846396928,-0.49015842713262525,-0.4901591549933368
-1992.239844796896,-0.4901580358900025,-0.4901587713760531
-1992.159843196864,-0.4901576446164228,-0.49015838772871306
-1992.079841596832,-0.4901572533118823,-0.4901580040513131
-1991.9998399968,-0.4901568619763775,-0.49015762034384963
-1991.919838396768,-0.4901564706099046,-0.49015723660631916
-1991.8398367967359,-0.49015607921245996,-0.4901568528387181
-1991.759835196704,-0.4901556877840399,-0.49015646904104304
-1991.6798335966719,-0.4901552963246408,-0.49015608521329035
-1991.59983199664,-0.4901549048342589,-0.4901557013554565
-1991.5198303966079,-0.49015451331289056,-0.490155317467538
-1991.439828796576,-0.4901541217605321,-0.4901549335495312
-1991.3598271965438,-0.4901537301771798,-0.4901545496014327
-1991.279825596512,-0.49015333856283005,-0.4901541656232389
-1991.1998239964798,-0.4901529469174791,-0.4901537816149462
-1991.119822396448,-0.49015255524112333,-0.4901533975765512
-1991.0398207964158,-0.49015216353375907,-0.49015301350805024
-1990.959819196384,-0.49015177179538255,-0.4901526294094398
-1990.879817596352,-0.4901513800259901,-0.49015224528071644
-1990.79981599632,-0.4901509882255782,-0.4901518611218765
-1990.719814396288,-0.49015059639414293,-0.49015147693291644
-1990.639812796256,-0.49015020453168073,-0.49015109271383284
-1990.559811196224,-0.4901498126381879,-0.490150708464622
-1990.479809596192,-0.49014942071366074,-0.4901503241852805
-1990.39980799616,-0.49014902875809563,-0.49014993987580474
-1990.319806396128,-0.4901486367714888,-0.49014955553619116
-1990.239804796096,-0.49014824475383656,-0.49014917116643625
-1990.1598031960639,-0.4901478527051353,-0.49014878676653645
-1990.079801596032,-0.4901474606253812,-0.49014840233648826
-1989.9997999959999,-0.4901470685145708,-0.49014801787628803
-1989.919798395968,-0.49014667637270015,-0.49014763338593226
-1989.8397967959359,-0.4901462841997657,-0.49014724886541744
-1989.759795195904,-0.49014589199576375,-0.49014686431474
-1989.6797935958718,-0.49014549976069055,-0.4901464797338964
-1989.59979199584,-0.4901451074945425,-0.49014609512288304
-1989.5197903958078,-0.4901447151973158,-0.4901457104816964
-1989.439788795776,-0.49014432286900683,-0.490145325810333
-1989.3597871957438,-0.49014393050961186,-0.49014494110878915
-1989.279785595712,-0.49014353811912725,-0.4901445563770614
-1989.1997839956798,-0.49014314569754924,-0.4901441716151461
-1989.119782395648,-0.49014275324487416,-0.49014378682303983
-1989.039780795616,-0.49014236076109835,-0.49014340200073897
